Source,URL,Neighborhood,District,Zone,Price_USD,Area_SQM,Price_Per_SQM,Scraped_Date
Dubizzle,https://www.olx.com.lb/ad/apartment-fire-sale-in-achrafieh-mls-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%A7%D8%B4%D8%B1%D9%81%D9%8A%D8%A9-ID117011742.html,Al roum,Beirut,Beirut-Other,390000.0,100.0,3900.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/rare-payment-plan-100sqm-apartment-with-garden-in-baabdat-for-sale-ID117005693.html,Baabdat,El Meten,El Meten,210000.0,100.0,2100.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/apartment-for-sale-in-achrafieh-mls-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%A7%D8%B4%D8%B1%D9%81%D9%8A%D8%A9-ID116989460.html,Beirut,Unknown,Unknown,415000.0,130.0,3192.3,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/apartment-for-sale-in-achrafieh-mls-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%A7%D8%B4%D8%B1%D9%81%D9%8A%D8%A9-ID116989449.html,Beirut,Unknown,Unknown,366000.0,110.0,3327.3,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/apartment-for-sale-in-manara-mk-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D9%86%D8%A7%D8%B1%D8%A9-ID116989014.html,Manara,Beirut,Ras Beyrouth,1300000.0,370.0,3513.5,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/apartment-for-sale-in-hamra-mk-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%AD%D9%85%D8%B1%D8%A7-ID116967895.html,Hamra,Beirut,Ras Beyrouth,800000.0,250.0,3200.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/apartment-for-sale-in-roumieh-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%B1%D9%88%D9%85%D9%8A%D8%A9-ID116805435.html,Roumieh,El Meten,El Meten,250000.0,170.0,1470.6,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/open-view-5-parkings-4bd-prime-location-ID117040633.html,Ain Saadeh,El Meten,El Meten,400000.0,265.0,1509.4,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/rwk136ga-villa-for-sale-in-hrajel-with-garden-and-terrace-ID116991875.html,Unknown,Unknown,Unknown,1050000.0,500.0,2100.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/rwk105ga-duplex-for-sale-in-mzaar-kfardebian-with-mountain-view-ID116899179.html,Unknown,Unknown,Unknown,430000.0,165.0,2606.1,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/furnished-duplex-apartment-for-sale-in-mzaar-kfardebian-ID116899173.html,Unknown,Unknown,Unknown,288000.0,111.0,2594.6,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/rwk103ga-furnished-duplex-apartment-for-sale-in-mzaar-kfardebian-ID116899164.html,Unknown,Unknown,Unknown,360000.0,152.0,2368.4,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/rwk216ba-apartment-for-sale-in-haret-sakher-with-sea-view-ID116992496.html,Unknown,Unknown,Unknown,290000.0,300.0,966.7,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/douar-stand-alone-540m%C2%B2-3-levels-prime-airbnb-rental-investment-ID116940657.html,Douar,El Meten,El Meten,375000.0,540.0,694.4,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Achrafieh,Beirut,Achrafieh,220000.0,120.0,1833.3,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Achrafieh,Beirut,Achrafieh,350000.0,180.0,1944.4,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Hamra,Beirut,Ras Beyrouth,180000.0,110.0,1636.4,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Verdun,Beirut,Moussaytbeh,340000.0,170.0,2000.0,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Badaro,Beirut,Mazraa,260000.0,140.0,1857.1,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Jnah,Beirut,Saifeh,380000.0,210.0,1809.5,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Ras Beirut,Beirut,Ras Beyrouth,450000.0,210.0,2142.9,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Mar Mikhael,Beirut,Remeil,195000.0,100.0,1950.0,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Downtown,Beirut,Beirut Central District,1500000.0,300.0,5000.0,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Ramlet el Bayda,Beirut,Moussaytbeh,580000.0,260.0,2230.8,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Gemmayzeh,Beirut,Saifeh,280000.0,130.0,2153.8,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Ain El Mraiseh,Beirut,Ain el-Mreisseh,420000.0,170.0,2470.6,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Sin El Fil,El Meten,El Meten,140000.0,90.0,1555.6,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Bourj Hammoud,El Meten,El Meten,95000.0,75.0,1266.7,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Jal El Dib,El Meten,El Meten,170000.0,95.0,1789.5,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Chiyah,Baabda,Baabda,105000.0,80.0,1312.5,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Hazmieh,Baabda,Baabda,250000.0,110.0,2272.7,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Jounieh,Kesrwane,Kesrwane,200000.0,100.0,2000.0,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Tripoli,Tripoli,Tripoli,75000.0,85.0,882.4,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Batroun,El Batroun,El Batroun,120000.0,90.0,1333.3,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Saida,Saida,Saida,90000.0,100.0,900.0,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Tyre,Sour,Sour,70000.0,80.0,875.0,2026-08-23 06:20
FB Marketplace,https://www.facebook.com/marketplace,Zahle,Zahle,Zahle,100000.0,110.0,909.1,2026-08-23 06:20
